LocationID,Zone,Borough,service_zone,is_airport_zone,cluster_status,cluster_id,cluster_name,typology_version
82,Elmhurst,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
83,Elmhurst/Maspeth,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
84,Eltingville/Annadale/Prince's Bay,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
85,Erasmus,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
86,Far Rockaway,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
87,Financial District North,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special
88,Financial District South,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special
89,Flatbush/Ditmas Park,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
90,Flatiron,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special
91,Flatlands,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
92,Flushing,Queens,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
93,Flushing Meadows-Corona Park,Queens,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
94,Fordham South,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
95,Forest Hills,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
96,Forest Park/Highland Park,Queens,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
97,Fort Greene,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
98,Fresh Meadows,Queens,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
99,Freshkills Park,Staten Island,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
100,Garment District,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special
101,Glen Oaks,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
102,Glendale,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
106,Gowanus,Brooklyn,Boro Zone,False,clustered,6,Industrial / logistics zone,0426_kmeans6_airport_special
107,Gramercy,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
108,Gravesend,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
109,Great Kills,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
110,Great Kills Park,Staten Island,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
111,Green-Wood Cemetery,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
112,Greenpoint,Brooklyn,Boro Zone,False,clustered,6,Industrial / logistics zone,0426_kmeans6_airport_special
113,Greenwich Village North,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special
114,Greenwich Village South,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
115,Grymes Hill/Clifton,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
116,Hamilton Heights,Manhattan,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
117,Hammels/Arverne,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
118,Heartland Village/Todt Hill,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
119,Highbridge,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
120,Highbridge Park,Manhattan,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
121,Hillcrest/Pomonok,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
122,Hollis,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
123,Homecrest,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
124,Howard Beach,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
125,Hudson Sq,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special
126,Hunts Point,Bronx,Boro Zone,False,clustered,6,Industrial / logistics zone,0426_kmeans6_airport_special
127,Inwood,Manhattan,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
128,Inwood Hill Park,Manhattan,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
129,Jackson Heights,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
130,Jamaica,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
131,Jamaica Estates,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
132,JFK Airport,Queens,Airports,True,airport_special,7,Airport special zone,0426_kmeans6_airport_special
133,Kensington,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
134,Kew Gardens,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
135,Kew Gardens Hills,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
136,Kingsbridge Heights,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
137,Kips Bay,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
138,LaGuardia Airport,Queens,Airports,True,airport_special,7,Airport special zone,0426_kmeans6_airport_special
139,Laurelton,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
140,Lenox Hill East,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
141,Lenox Hill West,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
142,Lincoln Square East,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
143,Lincoln Square West,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
144,Little Italy/NoLiTa,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special
145,Long Island City/Hunters Point,Queens,Boro Zone,False,clustered,6,Industrial / logistics zone,0426_kmeans6_airport_special
146,Long Island City/Queens Plaza,Queens,Boro Zone,False,clustered,6,Industrial / logistics zone,0426_kmeans6_airport_special
147,Longwood,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
148,Lower East Side,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
149,Madison,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
150,Manhattan Beach,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
151,Manhattan Valley,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
152,Manhattanville,Manhattan,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
153,Marble Hill,Manhattan,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
154,Marine Park/Floyd Bennett Field,Brooklyn,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
155,Marine Park/Mill Basin,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
156,Mariners Harbor,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
157,Maspeth,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
158,Meatpacking/West Village West,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
