LocationID,Zone,Borough,service_zone,is_airport_zone,cluster_status,cluster_id,cluster_name,typology_version,pickup_raw_longrun_tip_rate,pickup_residualized_tip_rate,pickup_tree_leaf_id,dropoff_raw_longrun_tip_rate,dropoff_residualized_tip_rate,dropoff_tree_leaf_id
78,East Tremont,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0046226982142046,4.2465296097117264e-05,2,0.0442596455414607,-0.0029795450156199,1
79,East Village,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.2487068463168935,0.0014160678524555,1,0.2504415090917309,0.0001564496036052,3
80,East Williamsburg,Brooklyn,Boro Zone,False,clustered,6,Industrial / logistics zone,0426_kmeans6_airport_special,0.144045472526862,0.0154678751010691,1,0.2041782142552936,0.0018055489264391,4
81,Eastchester,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0027517902432767,0.0150680507495897,4,0.047980361467544,0.0072444258681408,4
82,Elmhurst,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.093944621751227,-0.0209742395790454,1,0.1518714267198434,-0.0131397274638803,4
83,Elmhurst/Maspeth,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.1269103162090626,-0.007248311660581,1,0.1733248564112878,-0.0077679123675221,4
84,Eltingville/Annadale/Prince's Bay,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0578913809085865,0.0655237522378301,5,0.1839119669536154,0.049715221909059,5
85,Erasmus,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0073668926226869,-0.0095043044597303,2,0.0951686524178306,-0.0152710130199169,4
86,Far Rockaway,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0030181046223067,0.0487161668008505,4,0.0677840818947622,0.0489390221054698,5
87,Financial District North,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special,0.2260802600143979,-0.0044421498504389,1,0.2212088595571419,-0.0051330976431316,3
88,Financial District South,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special,0.2196317931152166,-0.0143483201316858,1,0.2145881921055585,-0.0156611738499726,3
89,Flatbush/Ditmas Park,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0123402022405872,0.0007854428123591,1,0.1439718367825925,0.0103840585380008,4
90,Flatiron,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special,0.2630777038725315,0.0049604806339153,1,0.2680806419360244,0.0133491001343913,4
91,Flatlands,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0028679302497789,-0.004682146533526,2,0.0592919806732352,-0.0037078751152646,4
92,Flushing,Queens,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0354019604613102,-0.0104553733035259,1,0.1796461387679729,-0.0023409557130027,4
93,Flushing Meadows-Corona Park,Queens,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special,0.19305073517282,0.0181845140431573,1,0.1935125754693531,-0.0005264442401871,2
94,Fordham South,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0047927480843167,-0.0029614736431511,1,0.0564818064963976,-0.0108449685034882,1
95,Forest Hills,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0531519831511811,-0.0116663716173384,2,0.1865440885496056,-0.0060735139303116,4
96,Forest Park/Highland Park,Queens,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special,0.1387919287709133,0.004815877354579,1,0.1546973858733321,0.0007227936762787,2
97,Fort Greene,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.1405401579206637,-0.0108630956495622,1,0.1905104500412222,-0.0018371803073374,2
98,Fresh Meadows,Queens,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special,0.022881389663922,-0.0009869289635977,5,0.1604615469007601,-0.0225151361048414,2
99,Freshkills Park,Staten Island,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special,0.0906430635412059,0.0120500800568573,4,0.0559148013484074,0.0183682752490445,5
100,Garment District,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special,0.2509933727997307,-0.0041539294824789,1,0.2490271562763812,-0.0054178455975048,3
101,Glen Oaks,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0268933076075618,0.0077266154223735,4,0.1361833745615473,0.006873938072354,5
102,Glendale,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0299766088221757,-0.0132459667451612,1,0.1549044945618283,-0.0109957608903489,4
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.294478885087011,0.0025804890200282,1,0.1062171453529194,3.5961571884597464e-16,4
106,Gowanus,Brooklyn,Boro Zone,False,clustered,6,Industrial / logistics zone,0426_kmeans6_airport_special,0.085516704043937,-0.008808971947454,1,0.198678296086709,0.0093958412742483,4
107,Gramercy,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.2546520166830919,-0.0019798535354774,1,0.2585955869562921,0.0036339098989784,3
108,Gravesend,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0049508720405793,0.0189629183279716,2,0.0677794991986215,0.0162876554221617,4
109,Great Kills,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0787396155852257,-0.0139722864017398,5,0.1771745514431557,0.0189573010318039,5
